  0.033200 	   0.053000 	 550.000000 	   0.000834 	 314.000000 	 7316346.500000 
  0.033200 	   0.053000 	 550.000000 	   0.000834 	 314.000000 	 7316346.500000 
  0.033233 	   0.053000 	 550.000000 	   0.000500 	 309.000000 	 7334815.500000 
  0.033222 	   0.053055 	 550.000000 	   0.000444 	 301.000000 	 7327584.000000 
  0.033200 	   0.053000 	 550.900000 	   0.000834 	 314.000000 	 7316346.500000 
  0.059999 	   0.074492 	 550.000000 	   0.093820 	 146.000000 	 22539114.000000 
  0.041439 	   0.060949 	 550.000000 	   0.001791 	 229.000000 	 10279926.000000 
  0.037034 	   0.056936 	 550.000000 	   0.001546 	 261.000000 	 11165236.000000 
  0.035029 	   0.054940 	 550.000000 	   0.000742 	 278.000000 	 7418878.500000 
  0.034103 	   0.053974 	 550.000000 	   0.000458 	 300.000000 	 10995877.000000 
  0.033663 	   0.053503 	 550.000000 	   0.000394 	 313.000000 	 7701353.500000 
  0.033448 	   0.053271 	 550.000000 	   0.000416 	 308.000000 	 7661556.500000 
  0.033448 	   0.053271 	 550.000000 	   0.000416 	 308.000000 	 7661556.500000 
  0.033481 	   0.053271 	 550.000000 	   0.000423 	 306.000000 	 7634603.500000 
  0.033470 	   0.053326 	 550.000000 	   0.000423 	 306.000000 	 7634603.500000 
  0.033448 	   0.053271 	 550.900000 	   0.000416 	 308.000000 	 7661556.500000 
  0.033435 	   0.053293 	 550.000000 	   0.000416 	 308.000000 	 7672932.500000 
  0.033441 	   0.053282 	 550.000000 	   0.000416 	 308.000000 	 7641367.500000 
  0.033444 	   0.053277 	 550.000000 	   0.000416 	 308.000000 	 7641367.500000 
